Time,Sample #,Type,Sub,Chan,Aux
0:00.100,36,+,0,0,(P
0:07.364,2651,/,0,0,
0:15.469,5569,f,0,0,
0:22.733,8184,/,0,0,
0:30.108,10839,/,0,0,
0:38.286,13783,f,0,0,
0:46.308,16671,/,0,0,
0:54.489,19616,/,0,0,
1:01.803,22249,/,0,0,
1:07.500,24300,/,0,0,
1:15.511,27184,N,0,0,
1:23.733,30144,f,0,0,
1:30.928,32734,N,0,0,
1:38.219,35359,N,0,0,
1:45.492,37977,N,0,0,
1:53.639,40910,f,0,0,
2:00.989,43556,f,0,0,
2:09.044,46456,N,0,0,
2:17.197,49391,/,0,0,
2:24.428,51994,/,0,0,
2:30.819,54295,N,0,0,
2:37.778,56800,~,1,0,
2:44.625,59265,f,0,0,
2:49.475,61011,/,0,0,
2:56.731,63623,/,0,0,
3:03.194,65950,f,0,0,
3:09.611,68260,/,0,0,
3:16.006,70562,f,0,0,
3:24.242,73527,f,0,0,
3:30.692,75849,f,0,0,
3:37.036,78133,N,0,0,
3:44.225,80721,N,0,0,
3:51.136,83209,/,0,0,
3:59.242,86127,/,0,0,
4:07.458,89085,f,0,0,
4:13.075,91107,f,0,0,
4:20.311,93712,/,0,0,
4:28.392,96621,/,0,0,
4:34.892,98961,/,0,0,
4:41.075,101187,N,0,0,
4:48.197,103751,N,0,0,
4:56.181,106625,f,0,0,
5:04.211,109516,f,0,0,
5:12.378,112456,f,0,0,
5:20.569,115405,Q,0,0,
5:27.775,117999,/,0,0,
5:35.489,120776,~,1,0,
5:42.400,123264,/,0,0,
5:50.553,126199,/,0,0,
5:58.628,129106,f,0,0,
6:04.806,131330,N,0,0,
6:12.828,134218,N,0,0,
6:20.222,136880,f,0,0,
6:26.636,139189,f,0,0,
6:34.758,142113,f,0,0,
6:42.908,145047,f,0,0,
6:50.214,147677,/,0,0,
6:58.292,150585,/,0,0,
7:05.433,153156,f,0,0,
7:13.231,155963,+,0,0,(P
7:20.469,158569,+,0,0,(N
7:27.367,161052,/,0,0,
7:35.361,163930,f,0,0,
7:43.558,166881,/,0,0,
7:51.625,169785,/,0,0,
7:58.764,172355,f,0,0,
8:06.097,174995,/,0,0,
8:14.236,177925,/,0,0,
8:21.450,180522,f,0,0,
8:27.900,182844,/,0,0,
8:35.144,185452,f,0,0,
8:41.631,187787,/,0,0,
8:49.700,190692,f,0,0,
8:57.756,193592,/,0,0,
9:05.006,196202,f,0,0,
9:12.378,198856,/,0,0,
9:20.475,201771,/,0,0,
9:27.608,204339,N,0,0,
9:34.931,206975,/,0,0,
9:42.217,209598,f,0,0,
9:49.542,212235,/,0,0,
9:56.797,214847,f,0,0,
10:03.628,217306,+,0,0,(N
10:10.469,219769,/,0,0,
10:18.661,222718,/,0,0,
10:26.839,225662,f,0,0,
10:34.825,228537,/,0,0,
10:41.322,230876,/,0,0,
10:48.564,233483,N,0,0,
